run_name,model,bottleneck_dim,noise_mode,epochs,train_samples,val_samples,test_samples,checkpoint_path,best_val_mse,test_mse,test_noisy_snr_db,test_recon_snr_db,test_snr_improvement_db
mlp_z16_gaussian,mlp,16,gaussian,20,2048,512,512,experiments/checkpoints/mlp_z16_gaussian_best.pt,0.058145379181951284,0.06308662239462137,9.669119834899902,5.746956825256348,-3.9221630096435547
mlp_z16_masking,mlp,16,masking,20,2048,512,512,experiments/checkpoints/mlp_z16_masking_best.pt,0.07904875092208385,0.07687484938651323,8.424469113349915,4.609159767627716,-3.8153093457221985
mlp_z16_both,mlp,16,both,20,2048,512,512,experiments/checkpoints/mlp_z16_both_best.pt,0.07813321799039841,0.07581276912242174,6.172876954078674,4.668019533157349,-1.5048574209213257
mlp_z16_impulse,mlp,16,impulse,20,2048,512,512,experiments/checkpoints/mlp_z16_impulse_best.pt,0.09293647296726704,0.09731697756797075,-3.014696329832077,3.5766465067863464,6.5913428366184235
mlp_z16_sinusoidal,mlp,16,sinusoidal,20,2048,512,512,experiments/checkpoints/mlp_z16_sinusoidal_best.pt,0.06323432922363281,0.060382142663002014,4.023775041103363,5.989138305187225,1.9653632640838623
mlp_z32_gaussian,mlp,32,gaussian,20,2048,512,512,experiments/checkpoints/mlp_z32_gaussian_best.pt,0.013332363683730364,0.013969602179713547,9.5693279504776,12.595984816551208,3.0266568660736084
mlp_z32_masking,mlp,32,masking,20,2048,512,512,experiments/checkpoints/mlp_z32_masking_best.pt,0.0347398086450994,0.03594479849562049,8.37280023097992,8.028083324432373,-0.3447169065475464
mlp_z32_both,mlp,32,both,20,2048,512,512,experiments/checkpoints/mlp_z32_both_best.pt,0.04662290075793862,0.04600205086171627,6.1077059507369995,6.978451907634735,0.8707459568977356
mlp_z32_impulse,mlp,32,impulse,20,2048,512,512,experiments/checkpoints/mlp_z32_impulse_best.pt,0.06374865304678679,0.06556518189609051,-3.0879826843738556,5.153450608253479,8.241433292627335
mlp_z32_sinusoidal,mlp,32,sinusoidal,20,2048,512,512,experiments/checkpoints/mlp_z32_sinusoidal_best.pt,0.028237043879926205,0.025473096407949924,4.0586057305336,10.553751111030579,6.495145380496979
mlp_z64_gaussian,mlp,64,gaussian,20,2048,512,512,experiments/checkpoints/mlp_z64_gaussian_best.pt,0.011561951134353876,0.01159031898714602,9.593698024749756,13.492164254188538,3.8984662294387817
mlp_z64_masking,mlp,64,masking,20,2048,512,512,experiments/checkpoints/mlp_z64_masking_best.pt,0.03566619195044041,0.03551673237234354,8.329815983772278,8.07387399673462,-0.2559419870376587
mlp_z64_both,mlp,64,both,20,2048,512,512,experiments/checkpoints/mlp_z64_both_best.pt,0.03782140137627721,0.03862902941182256,6.17259407043457,7.7299429178237915,1.5573488473892212
mlp_z64_impulse,mlp,64,impulse,20,2048,512,512,experiments/checkpoints/mlp_z64_impulse_best.pt,0.057547172997146845,0.05657435301691294,-3.084866940975189,5.757234036922455,8.842100977897644
mlp_z64_sinusoidal,mlp,64,sinusoidal,20,2048,512,512,experiments/checkpoints/mlp_z64_sinusoidal_best.pt,0.023954560980200768,0.02346940361894667,4.059307307004929,11.05726408958435,6.997956782579422
cnn_z16_gaussian,cnn,16,gaussian,20,2048,512,512,experiments/checkpoints/cnn_z16_gaussian_best.pt,0.06138708908110857,0.06313787447288632,9.669635772705078,5.764756739139557,-3.9048790335655212
cnn_z16_masking,cnn,16,masking,20,2048,512,512,experiments/checkpoints/cnn_z16_masking_best.pt,0.0680586788803339,0.0660186461172998,8.56165885925293,5.330602049827576,-3.231056809425354
cnn_z16_both,cnn,16,both,20,2048,512,512,experiments/checkpoints/cnn_z16_both_best.pt,0.07355079799890518,0.07050827471539378,6.114090740680695,4.990652620792389,-1.1234381198883057
cnn_z16_impulse,cnn,16,impulse,20,2048,512,512,experiments/checkpoints/cnn_z16_impulse_best.pt,0.06204395228996873,0.0590450968593359,-3.0870206356048584,5.988356530666351,9.07537716627121
cnn_z16_sinusoidal,cnn,16,sinusoidal,20,2048,512,512,experiments/checkpoints/cnn_z16_sinusoidal_best.pt,0.06088032852858305,0.06113659590482712,4.0274286568164825,6.092093825340271,2.0646651685237885
cnn_z32_gaussian,cnn,32,gaussian,20,2048,512,512,experiments/checkpoints/cnn_z32_gaussian_best.pt,0.003827292995993048,0.0038121855177450925,9.528710126876831,17.47905421257019,7.950344085693359
cnn_z32_masking,cnn,32,masking,20,2048,512,512,experiments/checkpoints/cnn_z32_masking_best.pt,0.011441657552495599,0.011992021463811398,8.490514397621155,13.207430720329285,4.71691632270813
cnn_z32_both,cnn,32,both,20,2048,512,512,experiments/checkpoints/cnn_z32_both_best.pt,0.022225312190130353,0.021187508013099432,6.1791470646858215,10.311893105506897,4.132746040821075
cnn_z32_impulse,cnn,32,impulse,20,2048,512,512,experiments/checkpoints/cnn_z32_impulse_best.pt,0.0009129210957325995,0.000999354975647293,-3.1178347766399384,24.26261854171753,27.380453318357468
cnn_z32_sinusoidal,cnn,32,sinusoidal,20,2048,512,512,experiments/checkpoints/cnn_z32_sinusoidal_best.pt,0.01644029375165701,0.017324318760074675,4.050771147012711,12.816260814666748,8.765489667654037
cnn_z64_gaussian,cnn,64,gaussian,20,2048,512,512,experiments/checkpoints/cnn_z64_gaussian_best.pt,0.0037596923939418048,0.0037468833616003394,9.520637154579163,17.484221935272217,7.963584780693054
cnn_z64_masking,cnn,64,masking,20,2048,512,512,experiments/checkpoints/cnn_z64_masking_best.pt,0.011545150773599744,0.010930099175311625,8.565837025642395,13.561480164527893,4.995643138885498
cnn_z64_both,cnn,64,both,20,2048,512,512,experiments/checkpoints/cnn_z64_both_best.pt,0.021017725812271237,0.02213277551345527,6.204109191894531,10.250990629196167,4.046881437301636
cnn_z64_impulse,cnn,64,impulse,20,2048,512,512,experiments/checkpoints/cnn_z64_impulse_best.pt,0.0010867460587178357,0.0009753099948284216,-3.0815452933311462,23.933089017868042,27.01463431119919
